"","법정동주소","도로명주소","시도","시군구","읍면동"
"68","경상남도 거창군 주상면 남산리 1088-1","하보광길 76","경상남도","거창군","주상면 남산리"
"69","전라남도 완도군 약산면 우두리 668-142","12","전라남도","완도군","약산면 우두리"
"70","전북특별자치도 고창군 흥덕면 치룡리 591-1","잿말길 43-16","전북특별자치도","고창군","흥덕면 치룡리"
"71","전라남도 나주시 세지면 대산리 45-43",NA,"전라남도","나주시","세지면 대산리"
"72","전라남도 보성군 벌교읍 장도리 산6-3","65-31","전라남도","보성군","벌교읍 장도리"
"73","부산광역시 서구 암남동 556-14","65-3","부산광역시","서구","암남동"
"74","경상남도 창원성산구 내동 454-1",NA,"경상남도","창원성산구","내동"
"75","경상남도 합천군 적중면 부수리 697-1","21-17","경상남도","합천군","적중면 부수리"
"76","강원특별자치도 동해시 발한동 105-104","27","강원특별자치도","동해시","발한동"
"77","서울특별시 서초구 방배동 966-40","효령로19길 85","서울특별시","서초구","방배동"
"78","전북특별자치도 진안군 진안읍 군상리 645","진용로 125-8","전북특별자치도","진안군","진안읍 군상리"
"79","전라남도 순천시 황전면 월산리 73-2",NA,"전라남도","순천시","황전면 월산리"
"80","경상북도 예천군 예천읍 대심리 9-5","봉덕로 88-1","경상북도","예천군","예천읍 대심리"
"81","충청북도 청주상당구 미원면 옥화리 147-1","옥화길 52-7","충청북도","청주상당구","미원면 옥화리"
"82","강원특별자치도 춘천시 남산면 서천리 198-1",NA,"강원특별자치도","춘천시","남산면 서천리"
"83","전라남도 나주시 산포면 송림리 391",NA,"전라남도","나주시","산포면 송림리"
"84","전라남도 곡성군 겸면 현정리 124",NA,"전라남도","곡성군","겸면 현정리"
"85","경상북도 청송군 진보면 괴정리 696-1","신촌갈평길 221-35","경상북도","청송군","진보면 괴정리"
"86","전라남도 여수시 둔덕동 276","좌수영로 646-17","전라남도","여수시","둔덕동"
"87","광주광역시 남구 방림동 8-16","천변좌로586번길 7","광주광역시","남구","방림동"
"88","경기도 남양주시 화도읍 가곡리 258-85",NA,"경기도","남양주시","화도읍 가곡리"
"89","충청북도 충주시 수안보면 수회리 600",NA,"충청북도","충주시","수안보면 수회리"
"90","인천광역시 서구 가정동 502-12","석곶로22번길 8","인천광역시","서구","가정동"
"91","전라남도 구례군 간전면 삼산리 225","21","전라남도","구례군","간전면 삼산리"
"92","충청북도 제천시 송학면 도화리 560-4",NA,"충청북도","제천시","송학면 도화리"
"93","전라남도 영광군 낙월면 상낙월리 산347","54","전라남도","영광군","낙월면 상낙월리"
"94","강원특별자치도 정선군 신동읍 조동리 327-4",NA,"강원특별자치도","정선군","신동읍 조동리"
"95","전라남도 영광군 백수읍 천정리 663","120","전라남도","영광군","백수읍 천정리"
"96","제주특별자치도 제주시 애월읍 봉성리 4115","봉성로 59-3","제주특별자치도","제주시","애월읍 봉성리"
"97","대구광역시 북구 대현동 484-14","30","대구광역시","북구","대현동"
"98","서울특별시 노원구 상계동 1294","덕릉로118길 27","서울특별시","노원구","상계동"
"99","충청남도 홍성군 결성면 성호리 501","성호길25번길 178-26","충청남도","홍성군","결성면 성호리"
"100","전라남도 곡성군 옥과면 율사리 419",NA,"전라남도","곡성군","옥과면 율사리"
