"","X","법정동주소","도로명주소","시도","시군구","읍면동","x","y","flag"
"46",46,"충청남도 금산군 진산면 만악리 112","초미동길 212-2","충청남도","금산군","진산면 만악리",127.4430816,36.1551442,"NORMAL"
"47",47,"전라남도 장성군 서삼면 장산리 27","31-6","전라남도","장성군","서삼면 장산리",126.7678908,35.3369398,"NORMAL"
"48",48,"부산광역시 영도구 청학동 148-136","와치로53번길 25-7","부산광역시","영도구","청학동",129.0615595,35.0885447,"NORMAL"
"49",49,"경상남도 하동군 북천면 방화리 327","가평길 51","경상남도","하동군","북천면 방화리",127.8518286,35.1098119,"NORMAL"
"50",50,"경상북도 청도군 이서면 서원리 560-3","미동길 73-8","경상북도","청도군","이서면 서원리",128.6713309,35.6544403,"NORMAL"
"51",51,"전라남도 보성군 회천면 객산리 103","6-22","전라남도","보성군","회천면 객산리",127.1664329,34.6989215,"NORMAL"
"52",52,"경상북도 고령군 대가야읍 쾌빈리 401-6",NA,"경상북도","고령군","대가야읍 쾌빈리",128.2700342,35.7319449,"NORMAL"
"53",53,"대구광역시 서구 비산동 548-8","문화로69길 34-5","대구광역시","서구","비산동",128.5703925,35.8789912,"NORMAL"
"54",54,"대전광역시 서구 도마동 64-12",NA,"대전광역시","서구","도마동",127.3760468,36.3198586,"NORMAL"
"55",55,"경기도 남양주시 진건읍 진관리 416-3",NA,"경기도","남양주시","진건읍 진관리",127.1629923,37.6444708,"NORMAL"
"56",56,"부산광역시 중구 영주동 239-96","망양로 357-9","부산광역시","중구","영주동",129.0310359,35.1087288,"NORMAL"
"57",57,"충청북도 영동군 학산면 학산리 284-2","당곡리길 54","충청북도","영동군","학산면 학산리",127.6752641,36.0917328,"NORMAL"
"58",58,"전북특별자치도 정읍시 정우면 대사리 519-1",NA,"전북특별자치도","정읍시","정우면 대사리",126.9052856,35.6650612,"NORMAL"
"59",59,"경상남도 창녕군 유어면  457-33","17-9","경상남도","창녕군","유어면",-9999999,-9999999,"http get request sucessful, address not returned"
"60",60,"전북특별자치도 군산시 둔율동 186-42",NA,"전북특별자치도","군산시","둔율동",126.7143567,35.9816975,"NORMAL"
"61",61,"부산광역시 금정구 부곡동 737-225","서동로60번길 24-6","부산광역시","금정구","부곡동",129.0931814,35.2174734,"NORMAL"
"62",62,"전라남도 해남군 해남읍  4-2","19","전라남도","해남군","해남읍",-9999999,-9999999,"http get request sucessful, address not returned"
"63",63,"서울특별시 영등포구 신길동 413-4",NA,"서울특별시","영등포구","신길동",126.90367,37.4983776,"NORMAL"
"64",64,"전북특별자치도 익산시 마동 320",NA,"전북특별자치도","익산시","마동",126.9554887,35.9396304,"NORMAL"
"65",65,"대전광역시 유성구 안산동 129-1","안금로15번길 17-14","대전광역시","유성구","안산동",127.3005836,36.4090099,"NORMAL"
"66",66,"경상남도 남해군 서면 서호리 604","스포츠로498번길 50","경상남도","남해군","서면 서호리",127.8537745,34.8161799,"NORMAL"
"67",67,"충청남도 부여군 양화면 족교리 256-1","충절로239번길 49-7","충청남도","부여군","양화면 족교리",126.8543671,36.1302665,"NORMAL"
"68",68,"경상남도 거창군 주상면 남산리 1088-1","하보광길 76","경상남도","거창군","주상면 남산리",127.9443616,35.7756367,"NORMAL"
"69",69,"전라남도 완도군 약산면 우두리 668-142","12","전라남도","완도군","약산면 우두리",126.875912,34.3928887,"NORMAL"
"70",70,"전북특별자치도 고창군 흥덕면 치룡리 591-1","잿말길 43-16","전북특별자치도","고창군","흥덕면 치룡리",126.7039482,35.5248914,"NORMAL"
"71",71,"전라남도 나주시 세지면 대산리 45-43",NA,"전라남도","나주시","세지면 대산리",126.7462676,34.9423876,"NORMAL"
"72",72,"전라남도 보성군 벌교읍 장도리 산6-3","65-31","전라남도","보성군","벌교읍 장도리",127.4425816,34.8086928,"NORMAL"
"73",73,"부산광역시 서구 암남동 556-14","65-3","부산광역시","서구","암남동",129.0152357,35.0718833,"NORMAL"
"74",74,"경상남도 창원성산구 내동 454-1",NA,"경상남도","창원성산구","내동",128.6622866,35.2218231,"NORMAL"
"75",75,"경상남도 합천군 적중면 부수리 697-1","21-17","경상남도","합천군","적중면 부수리",128.2856833,35.5452405,"NORMAL"
"76",76,"강원특별자치도 동해시 발한동 105-104","27","강원특별자치도","동해시","발한동",129.1066865,37.5425778,"NORMAL"
"77",77,"서울특별시 서초구 방배동 966-40","효령로19길 85","서울특별시","서초구","방배동",126.9899777,37.483223,"NORMAL"
"78",78,"전북특별자치도 진안군 진안읍 군상리 645","진용로 125-8","전북특별자치도","진안군","진안읍 군상리",127.4297957,35.8020962,"NORMAL"
"79",79,"전라남도 순천시 황전면 월산리 73-2",NA,"전라남도","순천시","황전면 월산리",127.4425266,35.1246074,"NORMAL"
"80",80,"경상북도 예천군 예천읍 대심리 9-5","봉덕로 88-1","경상북도","예천군","예천읍 대심리",128.4433184,36.6535074,"NORMAL"
"81",81,"충청북도 청주상당구 미원면 옥화리 147-1","옥화길 52-7","충청북도","청주상당구","미원면 옥화리",127.7037024,36.6165838,"NORMAL"
"82",82,"강원특별자치도 춘천시 남산면 서천리 198-1",NA,"강원특별자치도","춘천시","남산면 서천리",127.5509909,37.8385031,"NORMAL"
